Objects
100
,,Global Angle Headset:Headset,,,,,,Global Angle UWB_anchor:UWB_anchor,,,,,,
Frame,Sub Frame,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ
,,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm
155,0,0.200558,-0.343671,-1.299608,1268.110840,1623.596191,1798.166260,-0.028737,0.010975,0.138123,1265.702881,2218.399170,1258.395142
156,0,0.200354,-0.343386,-1.300076,1268.017700,1623.676636,1798.098145,-0.023449,0.009735,0.141831,1265.755127,2218.442139,1258.327515
157,0,0.199558,-0.342139,-1.301583,1267.968628,1623.670898,1798.001221,-0.030170,0.010114,0.132876,1265.664307,2218.423096,1258.371338
158,0,0.200369,-0.343876,-1.300530,1267.873291,1623.816772,1798.068604,-0.028907,0.012135,0.139638,1265.707153,2218.436279,1258.393799
159,0,0.200328,-0.344418,-1.300371,1267.779175,1623.880493,1798.051392,-0.032222,0.011200,0.131697,1265.648315,2218.386475,1258.406616
160,0,0.200342,-0.344835,-1.300651,1267.847290,1623.846313,1797.993896,-0.027740,0.009348,0.135942,1265.712769,2218.425049,1258.340820
161,0,0.199790,-0.343169,-1.302087,1267.588623,1623.997803,1797.945923,-0.025048,0.010545,0.147242,1265.793213,2218.432373,1258.301270
162,0,0.200434,-0.345324,-1.300615,1267.530151,1624.156006,1797.980347,-0.027437,0.009547,0.141100,1265.788208,2218.441406,1258.328735
163,0,0.200160,-0.345004,-1.301216,1267.449585,1624.156372,1797.901123,-0.031365,0.008137,0.137510,1265.796265,2218.374512,1258.325073
164,0,0.202501,-0.348955,-1.296032,1267.134033,1624.642334,1798.080566,-0.027993,0.007687,0.140372,1265.805542,2218.413574,1258.305298
165,0,0.202368,-0.349188,-1.296136,1267.001099,1624.727173,1798.072754,-0.023983,0.012946,0.148954,1265.743408,2218.471924,1258.424927
166,0,0.202237,-0.349208,-1.296307,1266.844849,1624.763184,1797.934692,-0.026720,0.010235,0.143254,1265.750977,2218.452393,1258.364746
167,0,0.202690,-0.350025,-1.296346,1266.762573,1624.899048,1797.987915,-0.027129,0.009216,0.138169,1265.757690,2218.451904,1258.374634
168,0,0.202826,-0.350405,-1.296097,1266.618896,1625.021362,1797.979126,-0.029122,0.010176,0.135817,1265.684814,2218.449707,1258.385254
169,0,0.202950,-0.351128,-1.295828,1266.531738,1625.128174,1798.001465,-0.026376,0.009177,0.146496,1265.803223,2218.401611,1258.339722
170,0,0.203041,-0.351132,-1.295546,1266.432739,1625.192017,1798.015259,-0.025480,0.009156,0.144143,1265.771118,2218.434326,1258.372314
171,0,0.203349,-0.351939,-1.295160,1266.362183,1625.323120,1798.060547,-0.025348,0.009627,0.145047,1265.763794,2218.475586,1258.379639
172,0,0.204321,-0.350158,-1.300135,1266.688721,1625.537598,1798.268921,-0.025997,0.008372,0.146581,1265.809814,2218.448242,1258.333496
173,0,0.204188,-0.350709,-1.300009,1266.663940,1625.623901,1798.259155,-0.028310,0.008496,0.137722,1265.739502,2218.474609,1258.365112
174,0,0.204409,-0.350876,-1.299591,1266.650635,1625.667480,1798.328247,-0.026868,0.008892,0.142519,1265.809082,2218.455078,1258.350098
175,0,0.203181,-0.351968,-1.298105,1266.513428,1625.430786,1798.221069,-0.024805,0.011251,0.148553,1265.773560,2218.448975,1258.455566
176,0,0.205638,-0.351358,-1.299568,1266.732788,1625.911011,1798.597534,-0.029715,0.009745,0.139249,1265.726929,2218.404297,1258.368286
177,0,0.205651,-0.351319,-1.299548,1266.749756,1625.982910,1798.587280,-0.027672,0.008839,0.141305,1265.748291,2218.450195,1258.360596
178,0,0.205845,-0.351543,-1.299459,1266.820190,1626.062988,1798.641113,-0.026244,0.006890,0.140473,1265.803833,2218.466309,1258.286499
179,0,0.205934,-0.351751,-1.299560,1266.891724,1626.107300,1798.663086,-0.023768,0.008869,0.152122,1265.859253,2218.451904,1258.337402
